Class,Accuracy,AUC,Recall,TNR,FPR,FNR
Atelectasis,92.247,72.05,0.0,100.0,0.0,100.0
Cardiomegaly,98.113,69.962,0.0,100.0,0.0,100.0
Consolidation,95.746,73.932,0.0,100.0,0.0,100.0
Edema,98.613,84.362,0.0,100.0,0.0,100.0
Effusion,92.022,75.004,1.328,99.905,0.095,98.672
Emphysema,98.513,67.36,0.0,100.0,0.0,100.0
Fibrosis,98.769,61.823,0.0,100.0,0.0,100.0
Hernia,99.925,66.408,0.0,100.0,0.0,100.0
Infiltration,90.054,66.838,0.063,99.986,0.014,99.937
Mass,95.121,60.557,0.0,100.0,0.0,100.0
Nodule,94.684,53.79,0.0,100.0,0.0,100.0
Pleural_Thickening,97.245,63.096,0.0,100.0,0.0,100.0
Pneumonia,99.125,63.429,0.0,100.0,0.0,100.0
Pneumothorax,96.789,63.692,0.0,100.0,0.0,100.0
Average,96.212,67.307,0.099,99.992,0.008,99.901
