Class,Accuracy,AUC,Recall,TNR,FPR,FNR
Atelectasis,7.759,50.003,100.0,0.007,99.993,0.0
Cardiomegaly,1.893,50.003,100.0,0.006,99.994,0.0
Consolidation,4.261,50.003,100.0,0.007,99.993,0.0
Edema,98.613,49.997,0.0,100.0,0.0,100.0
Effusion,8.003,50.003,100.0,0.007,99.993,0.0
Emphysema,1.493,50.003,100.0,0.006,99.994,0.0
Fibrosis,98.769,49.997,0.0,100.0,0.0,100.0
Hernia,99.925,49.997,0.0,100.0,0.0,100.0
Infiltration,90.061,49.997,0.0,100.0,0.0,100.0
Mass,4.885,50.003,100.0,0.007,99.993,0.0
Nodule,2.761,50.003,100.0,0.006,99.994,0.0
Pleural_Thickening,0.881,50.003,100.0,0.006,99.994,0.0
Pneumonia,3.217,50.003,100.0,0.006,99.994,0.0
Average,32.502,50.001,69.231,30.774,69.226,30.769
